,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
774,Cross River Bank,120,"Cross River Bank, Bank of America, Citi, Massachusetts Division of Banks, Morgan Stanley","Yeshiva University, New York University, University of California San Diego, Montclair State University, Rutgers Law School","Financial Services, Lending and Investments","Fort Lee, New Jersey, United States",3032,Series Unknown,"$28,000,000",28000000,0.9,"Banking, Finance",01/01/2008,Operating,11/01/2016,28000000,1.04,28,0.892
775,Brave,68,"Brave, Billington Cartmell, HeyHuman, Haygarth, iris Worldwide","Loughborough University, The University of Manchester, University of Colorado Boulder, AAA School of Advertising, Flinders University","Software, Internet Services","San Francisco, California, United States",3036,Funding Round,"$35,000,000",42000000,-2.7,"SaaS, Internet, Software, Web Browsers",01/01/2015,Operating,06/01/2017,42000000,0.46,42,0.899
776,ClearSky Data,45,"Dell EMC, NetApp, Dell, IBM, Hewlett Packard Enterprise","Northeastern University, Boston University, Worcester Polytechnic Institute, University of Pune, Harvard Business School","Hardware, Information Technology, Software, Internet Services","Boston, Massachusetts, United States",3040,Series B,"$27,000,000",39000000,2.7,"Cloud Computing, Data Center, Enterprise Software, Virtualization",01/01/2014,Operating,11/01/2015,39000000,2.05,39,0.858
777,BetterUp,231,"The Hartford, UK Home Office, Old Navy, VMware, Salesforce","University of Calgary, University of Southern California, John F. Kennedy University, Stanford University, University of California Berkeley",Education,"San Francisco, California, United States",3049,Series A,"$12,900,000",25000000,-0.8,Training,01/01/2013,Operating,11/16/2016,25000000,1,25,0.893
778,"Xcalar, Inc.",36,"NetApp, Oracle, SanDisk®, IBM, Hewlett Packard Enterprise","Carnegie Mellon University, University of California Santa Cruz, San Jose State University, University of California Berkeley, The University of British Columbia","Data and Analytics, Software","San Jose, California, United States",3054,Series A,"$21,000,000",21000000,6,"Enterprise Software, Big Data, Analytics",12/20/2013,Operating,06/28/2017,21000000,0.39,21,1.161
780,Elastifile,84,"Dell EMC, IBM, Mobixell Networks, Israel Defense Forces, Dell EMC XtremIO","Tel Aviv University, Technion - Israel Institute of Technology, The Hebrew University of Jerusalem, Ben-Gurion University of the Negev, Bar-Ilan University","Information Technology, Software, Health Care, Payments, Financial Services","Brooklyn, New York, United States",44350,Series Unknown,"$25,200,000",25200000,-1.3,"Developer APIs, Information Technology, Payments, Health Care",11/11/2011,Operating,04/14/2016,25200000,1.59,25.2,0.876
781,WeLab,75,"Citi, Standard Chartered Bank, WeLab, Microsoft, HSBC","City University of Hong Kong, The Chinese University of Hong Kong, The Hong Kong Polytechnic University, University of Sydney, Nankai University",Financial Services,"Sheung Wan, Hong Kong Island, Hong Kong",3068,Debt Financing,"$25,000,000",205000000,-0.3,"FinTech, Finance, Lending, Personal Finance",01/25/2013,Operating,09/06/2016,180000000,1.2,180,0.893
783,Simplee,80,"Israel Defense Forces, eBay Advertising, eBay, PayPal, IAF - Israeli Air Force","Ben-Gurion University of the Negev, The College of Management Academic Studies, Technion - Israel Institute of Technology, The Academic College of Tel-Aviv, Yaffo, University of California Berkeley","Data and Analytics, Software, Health Care, Artificial Intelligence","Bangalore, Karnataka, India",6489,Non-equity Assistance,,5800000,-2.4,"Big Data, Software, Analytics, Health Care, Machine Learning",01/01/2015,Operating,06/08/2017,5800000,0.44,5.8,0.804
784,Transcriptic,37,"University of Pennsylvania, Brown University, Stanford University, UtahAngels, Transcriptic","University of Pennsylvania, Massachusetts Institute of Technology, University of California Santa Cruz, Stanford University, University of California San Diego","Biotechnology, Science and Engineering, Hardware, Software","Menlo Park, California, United States",3074,Series A,"$13,400,000",27770000,-0.5,"SaaS, Robotics, Biotechnology",02/14/2012,Operating,11/17/2016,27770000,1,27.77,1.118
785,Cape Analytics,28,"RMS, LoopNet, Tesla, Apple, NetApp","Stanford University, San Jose State University, ETH Zurich, University of California Berkeley, University of Southern California","Science and Engineering, Data and Analytics, Software, Financial Services, Artificial Intelligence","Palo Alto, California, United States",3077,Series Unknown,"$14,000,000",14000000,-0.8,"Insurance, Artificial Intelligence",01/01/2014,Operating,11/10/2016,14000000,1.02,14,1.342
787,Avi Networks,143,"Cisco, Citrix, NetApp, F5 Networks, VMware","Birla Institute of Technology and Science, Pilani, Stanford University, Visvesvaraya Technological University, University of California Los Angeles, The University of Texas at Austin","Hardware, Information Technology, Data and Analytics, Internet Services","Santa Clara, California, United States",3079,Series B,"$20,800,000",33000000,-0.3,"Analytics, Cloud Infrastructure, Cloud Data Services",01/01/2012,Operating,08/01/2014,33000000,3.3,33,0.721
788,Away,74,"Away, The Boston Consulting Group (BCG), AllSaints Retail Ltd, Warby Parker, Indego Africa","New York University, Emerson College, Brown University, University of Melbourne, General Assembly","Manufacturing, Commerce and Shopping","New York, New York, United States",3084,Series B,"$20,000,000",31000000,-2.9,"E-Commerce, Consumer, Manufacturing",02/01/2015,Operating,05/19/2017,31000000,0.5,31,0.898
789,Cleartrip,648,"Cleartrip.com, MakeMyTrip.com, Naukri.com, WNS Global Services, Infosys","University of Mumbai, Institute of Hotel Management, Visvesvaraya Technological University, Kendriya Vidyalaya, Delhi University","Travel and Tourism, Community and Lifestyle","Mumbai, Maharashtra, India",3086,Series Unknown,,56400000,-1.5,"Leisure, Adventure Travel, Travel",01/01/2006,Operating,06/21/2016,56400000,1.41,56.4,0.883
790,Revinate,130,"Revinate, Adobe, Akamai Technologies, Travelocity, PwC","Cornell University, University of California Berkeley, University of Waterloo, Hotelschool The Hague, University of California Santa Cruz","Travel and Tourism, Media and Entertainment, Software, Sales and Marketing, Internet Services","San Francisco, California, United States",3090,Series C,"$12,990,000",43530000,-0.7,"Hospitality, Enterprise Software, Social Media Marketing, Social Media",01/01/2009,Operating,06/30/2016,43530000,1.38,43.53,1.109
791,Vinted,164,"Vinted / Kleiderkreisel, Metasite, ImmobilienScout24, Omnitel, Western Union","Vilniaus universitetas / Vilnius University, Mykolas Romeris University, Vilnius Gediminas Technical University, Kaunas University of Technology, Vytauto Didžiojo universitetas","Media and Entertainment, Clothing and Apparel, Internet Services, Design, Mobile","Vilnius, Vilniaus Apskritis, Lithuania",3091,Series C,"$27,000,000",59592880,-0.5,"Internet, Social Media, Mobile, Fashion",12/01/2008,Operating,12/09/2015,59592880,1.94,59.593,0.863
792,Hinge,61,"TD, Hinge, Advanced Clinical, INC Research, Loblaw Companies Limited","George Mason University, Virginia Commonwealth University, American University - Kogod School of Business, American University, Loyola University Chicago","Platforms, Media and Entertainment, Community and Lifestyle, Software, Internet Services, Mobile","New York, New York, United States",3105,Series A,"$12,000,000",20600000,-1.3,"Dating, Android, Social Media, Mobile, Internet",02/01/2011,Operating,12/11/2014,20600000,2.94,20.6,0.824
793,SmartBiz Loans,102,"SmartBiz. SBA loans made easy., LendingClub, Wells Fargo, Intuit, Oracle","University of California Davis, San Francisco State University, University of California Santa Cruz, University of California Santa Barbara, University of San Francisco","Commerce and Shopping, Financial Services","San Francisco, California, United States",3107,Series C,"$21,000,000",37000000,-1.1,"E-Commerce, Financial Services, Lending",01/01/2009,Operating,01/17/2013,37000000,4.84,37,0.792
795,ShipBob,85,"ShipBob Inc., Recruit, Groupon, Two Roads Hospitality, Raise","DePaul University, University of Illinois at Urbana-Champaign, Northwestern University, The University of Chicago, University of Illinois at Urbana-Champaign - College of Business","Commerce and Shopping, Software, Transportation","San Francisco, California, United States",39906,Series A,"$7,000,000",9275000,-1.8,"E-Commerce, Shipping, B2B, Developer APIs, Logistics",10/01/2013,Operating,09/09/2016,9275000,1.19,9.275,0.888
796,Roofstock,74,"Waypoint Homes, YP, The Real Yellow Pages®, LoopNet, Yahoo! Inc., ZOZI","University of California Berkeley, Stanford University, San Francisco State University, Harvard University, University of California Davis","Commerce and Shopping, Real Estate, Financial Services","Oakland, California, United States",3127,Series B,"$20,000,000",33250000,-1.5,"Marketplace, FinTech, Real Estate, Rental Property",01/01/2015,Operating,11/14/2016,33250000,1.01,33.25,1.23
797,ZeroCater,164,"ZeroCater, Yelp, The Melt, Salesforce, Campus Special (acquired by Chegg, Inc.)","California Polytechnic State University-San Luis Obispo, San Francisco State University, University of California Berkeley, Queens College, Columbia University in the City of New York","Travel and Tourism, Food and Beverage, Internet Services","San Francisco, California, United States",3128,Series A,"$4,099,999",5599999,2.6,"Restaurants, Internet, Small and Medium Businesses, Hospitality",01/01/2009,Operating,08/17/2016,5599999,1.25,5.6,0.886
799,DECA,12055,"DECATHLON FRANCE, Decathlon International, Auchan Retail, Carrefour, McDonald's","IAE Lille, Université Paris Nanterre, INSEEC, University of Lille 1 Sciences and Technology, Aix-Marseille University","Media and Entertainment, Education, Internet Services, Video","Santa Monica, California, United States",3137,Series B,"$10,000,000",15000000,6.4,"Education, Non Profit, Digital Media, Internet, Video",01/01/2007,Operating,01/12/2009,15000000,8.85,15,0.779
800,PatientPing,73,"athenahealth, Curaspan, IBM, Dell EMC, Brigham and Women's Hospital","University of Oregon, Stanford University, Bentley University, Boston College, Boston University Questrom School of Business",Health Care,"Boston, Massachusetts, United States",3144,Series B,"$31,600,000",41200000,-0.4,Health Care,01/01/2013,Operating,12/06/2016,41200000,0.95,41.2,0.894
801,Laurel & Wolf,181,"Laurel & Wolf, Condé Nast, Pier 1 Imports, Kate Jackson Interior Design, OpenTable","FIDM, University of California Los Angeles, California State University Northridge, University of Southern California, The George Washington University","Commerce and Shopping, Real Estate, Design","Los Angeles, California, United States",3145,Series B,"$20,000,000",25500000,-0.7,"E-Commerce, Marketplace, Interior Design",01/01/2014,Operating,09/02/2015,25500000,2.21,25.5,0.851
802,Able Lending,25,"Able Lending, National Instruments, Ann Arbor State Bank, Outbox Inc, U.S. House of Representatives","The University of Texas at Austin, Virginia Tech, Auburn University, Harvard Business School, Southern Methodist University","Financial Services, Lending and Investments","Austin, Texas, United States",3147,Series B,"$4,000,000",116500000,-0.1,"FinTech, Credit, Finance, Small and Medium Businesses",01/01/2011,Operating,02/28/2017,16500000,0.72,16.5,1.046
803,Meteor,458,"Meteor, eir Ireland, Vodafone, Telefónica, Ericsson","Dublin Institute of Technology, Dublin City University, University College Dublin, National College of Ireland, The Open University","Apps, Software","San Francisco, California, United States",3149,Series B,"$20,000,000",31200000,-2.3,"Web Apps, Software, Open Source, Developer Tools",01/01/2011,Operating,05/19/2015,31200000,2.5,31.2,0.84
804,Mailgun,40,"Rackspace, the #1 managed cloud company, MERA, Mailgun Technologies, Inc, Oracle, Volusion","The University of Texas at San Antonio, The University of Texas at Austin, State University of Nizhni Novgorod named after N.I. Lobachevsky (UNN), San Antonio College, Nizhniy Novgorod State Technical University named after R.Y. Alekseev (NSTU)","Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",3150,Series Unknown,"$50,000,000",51100000,0.9,"Software, Messaging, Email",01/01/2010,Operating,02/22/2017,51100000,0.73,51.1,0.897
805,YourMechanic,100,"YourMechanic, NVIDIA, eBay, Shutterfly Inc., US Navy","San Jose State University, Stanford University, De Anza College, San Francisco State University, Ohlone College","Commerce and Shopping, Transportation","Mountain View, California, United States",3171,Series B,"$24,000,000",28000000,-1.1,"Automotive, Logistics, Consumer, E-Commerce",01/01/2012,Operating,03/01/2016,28000000,1.72,28,0.871
806,The Farmer's Dog,13,"The Farmer's Dog, VaynerMedia, Brown University, Bain & Company, BloomNation","University of California Berkeley, Brown University, Charles University in Prague, Universidad de Salamanca, King's College London",Commerce and Shopping,"New York, New York, United States",3172,Series A,"$8,100,000",10100000,-2.9,"Personalization, E-Commerce, Subscription Service",01/01/2014,Operating,05/18/2017,10100000,0.5,10.1,1.235
807,Avere Systems,106,"NetApp, Carnegie Mellon University, Avere Systems, FORE Systems, Spinnaker Networks","Carnegie Mellon University, University of Pittsburgh, Duquesne University, Massachusetts Institute of Technology, San Jose State University","Hardware, Software, Internet Services","Pittsburgh, Pennsylvania, United States",3174,Series E,"$14,000,000",86000000,-0.3,"Web Hosting, Data Storage, Hardware, Cloud Infrastructure",01/01/2008,Operating,03/21/2017,86000000,0.66,86,1.161
809,Contactually,74,"Contactually, Opower, AOL, AddThis, WeddingWire","University of Maryland College Park, Georgetown University, George Mason University, American University, The George Washington University","Apps, Media and Entertainment, Software, Internet Services, Mobile","Berlin, Berlin, Germany",3576,Series B,"$13,000,000",16800000,-0.8,"Mobile, Cloud Computing, SaaS, Content, Apps",06/26/2013,Operating,05/26/2016,16800000,1.48,16.8,0.88
810,b8ta,71,"Apple, Google, Nest, Nintendo, Coach","San Francisco State University, California State University-Sacramento, San Jose State University, Rensselaer Polytechnic Institute, Carnegie Mellon University","Hardware, Commerce and Shopping, Software","San Francisco, California, United States",3179,Series A,"$7,000,000",19500000,-0.5,"Retail, Hardware, Software",01/01/2015,Operating,09/28/2016,11500000,1.14,11.5,0.895
811,Helium,14,"GoTech, Standard Chartered Bank, Intelligent Marketing Solutions (IMS), Coca-Cola Bottling Co. Consolidated","University of Tasmania, The University of Lahore, University of Central , University of Sindh, University of the Punjab","Hardware, Internet Services, Mobile","San Francisco, California, United States",3183,Series B,"$20,000,000",38800000,-1,"Wireless, Internet of Things, Telecommunications",07/01/2013,Operating,04/25/2016,38800000,1.56,38.8,0.877
812,Trip.com,45,"Trip.com by Gogobot, Adventure Travel Trade Association, USIS, Zynga, Myspace","Concordia University, Charles University in Prague, IDC Herzliya, Ajou University, Massey University","Travel and Tourism, Media and Entertainment, Internet Services, Mobile","Menlo Park, California, United States",3184,Series C,"$20,000,000",39000000,-0.5,"Travel, Mobile, Local, Search Engine, Social Media",11/01/2010,Operating,11/12/2014,39000000,3.02,39,0.822
813,KupiVIP,154,"KUPIVIP.RU, Intel Corporation, KupiVIP.ru E-Commerce Services, Podium company, FAMILIA","Lomonosov Moscow State University (MSU), Smolensk University of Humanities, State University of Management (SUM), Plekhanov Russian University of Economics, Peoples’ Friendship University of Russia","Commerce and Shopping, Clothing and Apparel, Internet Services, Design","Moscow, Moscow City, Russian Federation",3186,Series E,"$15,600,000",119600000,-0.1,"Shopping, Internet, Fashion, E-Commerce",01/01/2008,Operating,10/25/2012,119600000,5.07,119.6,0.792
814,Amino Apps,41,"Amino Apps, 1000heads, Harvard University, Tumblr, United Nations","NYU Stern School of Business, Harvard University, The New School, UNSW, Universidade Federal do Rio de Janeiro","Media and Entertainment, Community and Lifestyle, Internet Services, Mobile","New City, New York, United States",3189,Series B,"$19,200,000",27350000,-1.1,"Social Media, Mobile, Communities",01/01/2011,Operating,12/15/2016,27350000,0.92,27.35,0.894
815,Airtime,115,"SugarSync, Cisco, Airtime, webOS, Northwestern University","University of California Berkeley, Northwestern University, University of California Davis, Howard University, University of Florida - Warrington College of Business","Media and Entertainment, Information Technology, Internet Services, Video, Content and Publishing, Messaging and Telecommunications","New York, New York, United States",3191,Series B,"$7,958,625",33458625,-2.5,"Photography, Video Chat, Video, Messaging, Video on Demand, Social Media",01/01/2010,Operating,06/11/2012,32958625,5.44,32.959,1.125
817,Sparkcentral,60,"Sparkcentral, Hewlett Packard Enterprise, Tieto, KBC Bank & Verzekering, Media Temple","KU Leuven, Swinburne University of Technology, Karel de Grote-Hogeschool, San Francisco State University, University of California Berkeley","Apps, Commerce and Shopping, Software, Mobile","Los Altos, California, United States",34774,Private Equity,"$10,000,000",10000000,0.8,"Mobile, Apps, E-Commerce",01/01/2010,Operating,07/01/2012,10000000,5.38,10,0.787
818,Fon,9704,"Fonterra, Nestlé, Unilever, Lion, Spark New Zealand","Massey University, The University of Auckland, The University of Waikato, University of Otago, University of Canterbury","Hardware, Mobile","Madrid, Madrid, Spain",3198,Series Unknown,"$14,000,000",110329935,-1,"Wireless, Mobile",02/06/2006,Operating,01/20/2014,110329935,3.83,110.33,0.806
819,TravelBank,40,"Parature, from Microsoft, Facebook, Meltwater, Apple, Rue La La","University of California Berkeley, University of Maryland College Park, Cornell University, University of Pennsylvania, Virginia Tech","Travel and Tourism, Software, Professional Services, Financial Services","San Francisco, California, United States",3214,Series A,"$10,000,000",10000000,-1.7,"Software, Accounting, Travel, Finance",01/01/2016,Operating,10/20/2016,10000000,1.08,10,1.228
820,Brainly,113,"Brainly, Grupa Onet-RAS Polska, Delphi, ABB, Nokia","Jagiellonian University, AGH University of Science and Technology, Uniwersytet Ekonomiczny w Krakowie, Politechnika Krakowska im. Tadeusza Kościuszki, SGH Warsaw School of Economics","Software, Education, Internet Services","Kraków, Malopolskie, Poland",3216,Series B,"$15,000,000",24500000,-1,"Education, EdTech, Social Network, Internet, E-Learning",01/01/2009,Operating,05/11/2016,24500000,1.52,24.5,0.878
821,BuildZoom,87,"BuildZoom, Thomson Reuters, Festool North America, IBM, BrightRoll","University of the Philippines, Stanford University, Duke University, University of Oklahoma, Polytechnic University of the Philippines",Real Estate,"San Francisco, California, United States",3220,Series A,"$11,000,000",14563000,-2.1,"Home Renovation, Home Improvement, Construction",01/01/2012,Operating,10/14/2015,14563000,2.1,14.563,0.855
822,CrowdStrike,680,"McAfee, CrowdStrike, Symantec, Raytheon|Websense, Microsoft","University of Washington, San Jose State University, California State Polytechnic University-Pomona, University of California Los Angeles, University of California Santa Barbara","Information Technology, Privacy and Security","Irvine, California, United States",3223,Series D,"$100,000,000",256000000,-4.5,"Security, Cyber Security, Network Security",01/01/2011,Operating,05/17/2017,256000000,0.5,256,0.905
823,RockYou,248,"RockYou, Digital Chocolate, Kiwi Inc., Playdom, Kabam","Visvesvaraya Technological University, Stanford University, Bangalore University, San Jose State University, University of Madras","Gaming, Apps, Software, Sales and Marketing, Mobile, Advertising","San Francisco, California, United States",3241,Series F,"$23,000,000",172725336,-0.3,"Advertising, Apps, Gaming, Mobile, Marketing",11/01/2005,Operating,03/02/2015,162725336,2.72,162.725,0.835
824,Lob,80,"Lob, Twitter, Microsoft, Google, Amazon","University of Michigan - Stephen M. Ross School of Business, University of California Berkeley, Brown University, Santa Clara University, Stanford University","Media and Entertainment, Software, Internet Services, Content and Publishing","San Francisco, California, United States",3244,Series B,"$20,000,000",29400000,-2,"Printing, Internet, Developer APIs, Developer Tools",01/01/2013,Operating,05/31/2017,29400000,0.47,29.4,0.898
825,LoungeBuddy,23,"Hewlett Packard Enterprise, Stanford University, CPP Group plc, Northrop Grumman, Redux Inc.","University of Technology Sydney, Stanford University, University of California Berkeley, University of California Los Angeles, Savannah College of Art and Design","Platforms, Travel and Tourism, Software, Mobile","San Francisco, California, United States",3249,Series A,"$3,000,000",4000000,-0.4,"iOS, Travel, Android",01/01/2013,Operating,02/24/2015,4000000,2.73,4,0.831
826,PayNearMe,64,"Good Powered by BlackBerry, Motorola Mobility (a Lenovo Company), Microsoft, FedEx Office, PayNearMe","Stanford University, San Francisco State University, San Jose State University, University of California Santa Barbara, University of California Berkeley","Commerce and Shopping, Real Estate, Payments, Financial Services","Sunnyvale, California, United States",3250,Debt Financing,"$10,000,000",81199988,-1.5,"Payments, E-Commerce, Property Management",03/01/2009,Operating,06/29/2017,71199988,0.39,71.2,1.35
827,SnapRoute Inc.,46,"Cisco, Juniper Networks, Ericsson, Broadcom Limited, Brocade","San Jose State University, University of Southern California, North Carolina State University, Birla Institute of Technology and Science, Pilani, Jawaharlal Nehru Technological University","Hardware, Information Technology, Software","Palo Alto, California, United States",3255,Series A,"$25,000,000",25000000,-0.7,"Software, Developer APIs, Telecommunications, Enterprise, Open Source, Data Center",,Operating,02/07/2017,25000000,0.78,25,0.802
829,BetterCloud,154,"BetterCloud, Georgia Institute of Technology, Cloud Sherpas, GE Power, Vonage Business","Georgia Institute of Technology, The University of Georgia, Georgia State University, Georgia Southern University, Georgia College & State University",Education,"Guangzhou, Guangdong, China",29821,Funding Round,,10000000,0.7,"Secondary Education, Education, Primary Education",01/01/1997,Operating,01/01/2011,10000000,6.88,10,0.932
830,ScaleArc,99,"Oracle, ScaleArc, IBM, Cisco, Tata Consultancy Services","University of Mumbai, Indian Institute of Technology Bombay, University of Pune, San Jose State University, Kendriya Vidyalaya","Data and Analytics, Software","Santa Clara, California, United States",3276,Debt Financing,"$7,500,000",51210000,-0.7,"Database, Software, Analytics",01/01/2009,Operating,01/10/2017,43710000,0.85,43.71,0.896
831,Coho Data,44,"Citrix, Hewlett Packard Enterprise, Microsoft, NetApp, The University of British Columbia","The University of British Columbia, University of Cambridge, Simon Fraser University, University of Waterloo, Charles University in Prague","Hardware, Information Technology, Software, Internet Services","Santa Clara, California, United States",3283,Series C,"$30,000,000",76406000,-0.1,"Infrastructure, Virtualization, Private Cloud, Data Center, Information Technology",11/01/2011,Operating,05/20/2015,76406000,2.5,76.406,0.841
832,FiftyThree,27,"Microsoft, Precor, Adobe, Amazon, Methodologie now Digital Kitchen","University of Washington, Columbia University in the City of New York, Brown University, New York University, University of Illinois at Urbana-Champaign","Hardware, Software, Mobile","New York, New York, United States",3284,Series B,"$30,000,000",45100000,0.9,"Software, Hardware, Mobile",01/01/2011,Operating,03/17/2015,45100000,2.67,45.1,0.834
834,Primus Power,53,"Applied Materials, Solyndra, California Polytechnic State University, Sun Microsystems, National Renewable Energy Laboratory","Stanford University, California Polytechnic State University-San Luis Obispo, Carnegie Mellon University, The University of Kiel, University of Canterbury","Energy, Sustainability","Hayward, California, United States",3288,Series E,"$32,000,000",112099999,0,"Renewable Energy, CleanTech, Battery, Energy",03/01/2009,Operating,03/26/2017,92099999,0.65,92.1,1.349
835,Hollar,74,"ShoeDazzle, Hollar, The Honest Company, Nordstromrack.com | HauteLook, a Nordstrom Company, TechStyle Fashion Group","University of California Los Angeles, FIDM, Chaffey College, UC Irvine, University of California San Diego","Hardware, Commerce and Shopping, Consumer Electronics","Commerce, California, United States",3296,Series B,"$30,000,000",47550000,-0.8,"Retail, Consumer Electronics, E-Commerce",01/01/2015,Operating,11/03/2016,47550000,1.04,47.55,0.892
836,Bidgely,96,"Bidgely, Informatica, IBM, Hewlett Packard Enterprise, Qualcomm","Indian Institute of Technology Delhi, University of California Berkeley, Birla Institute of Technology and Science, Pilani, Indian Institute of Technology Kanpur, Indian Institute of Technology Kharagpur","Energy, Information Technology, Sustainability, Data and Analytics, Software, Government and Military","Sunnyvale, California, United States",3306,Series B,"$16,600,000",24600000,-0.8,"Consumer Software, Energy Management, GovTech, Analytics, Energy Efficiency",01/01/2010,Operating,11/02/2015,24600000,2.04,24.6,0.764
837,1stdibs,347,"1stdibs.com, Christie's, Time Inc., Zerve, Adform","New York University, Parsons School of Design - The New School, Columbia University in the City of New York, University of Pennsylvania, Vilnius Gediminas Technical University","Commerce and Shopping, Media and Entertainment, Clothing and Apparel, Consumer Goods, Design","New York, New York, United States",3309,Secondary Market,,117000000,-0.5,"Marketplace, Fashion, Furniture, E-Commerce, Art, Online Auctions",01/01/2001,Operating,09/09/2015,117000000,2.19,117,0.854
838,Clever,21,"Wellesley College, Headhunter Group, The Daily Star, BD, Presidio Trust, Lawrence Hall of Science, UC Berkeley","University of California Berkeley, Wellesley College, University of Santo Tomas, Al Azhar Indonesia University","Information Technology, Data and Analytics, Software, Education","San Francisco, California, United States",3310,Series B,"$30,000,000",43320000,-1.2,"Data Integration, EdTech, Big Data, Education",01/01/2012,Operating,12/16/2014,43320000,2.92,43.32,1.341
839,Benchling,34,"Google, Massachusetts Institute of Technology, Salesforce, MIT, Duke University","Massachusetts Institute of Technology, Charles University in Prague, Yale University, Harvard University, University of Pennsylvania","Biotechnology, Science and Engineering, Energy, Sustainability, Health Care","San Francisco, California, United States",3330,Series B,"$7,000,000",12900000,-0.7,"Biotechnology, Renewable Energy, Health Care",01/01/2012,Operating,10/03/2016,12900000,1.12,12.9,0.897
840,500px,201,"500px, University of Toronto, Immigration and Refugee Board of Canada | Commission de l'immigration et du statut de réfugié, Corbis, McGill University","University of Waterloo, University of Toronto, Seneca College, Humber College, Ryerson University","Apps, Media and Entertainment, Software, Internet Services, Content and Publishing","Toronto, Ontario, Canada",3340,Series B,"$13,000,000",22325000,-0.6,"Internet, Photography, Apps",10/01/2009,Operating,07/21/2015,22325000,2.33,22.325,1.109
842,YipitData,95,"Credit Suisse, YipitData, Goldman Sachs, Bloomberg LP, J.P. Morgan","Fullstack Academy of Code, Harvard University, Dartmouth College, Cornell University, NYU Stern School of Business","Data and Analytics, Software","San Francisco, California, United States",8864,Series B,"$18,000,000",23000000,-0.3,"Real Time, Enterprise Software, Big Data",01/01/2010,Operating,05/01/2013,23000000,4.55,23,0.794
843,Cozy,58,"Cozy, Nike, Uber, Noun Project, Mississippi State University","Portland State University, University of California Los Angeles, Colorado College, Calvin College, Washington University in St. Louis","Real Estate, Financial Services","Portland, Oregon, United States",3346,Series B,"$8,500,000",18400000,-0.6,"Property Management, Real Estate, Finance",03/01/2012,Operating,08/30/2016,18400000,1.22,18.4,0.887
845,Motiv,11,"California State University-Long Beach, USA Pro Challenge, Halifax, OmniForce, Pana","California State University-Long Beach, Colorado State University, University of Calgary, University of Arizona, University of California Santa Cruz","Real Estate, Financial Services","New York, New York, United States",53477,Seed,"$3,000,000",3250000,-1.8,"Financial Services, FinTech, Real Estate",10/16/2015,Operating,05/02/2017,3250000,0.55,3.25,0.897
846,Mapillary,35,"Atlas Copco, Parsons Brinckerhoff in the USA (now WSP USA), Microsoft, US Army, Apple","The Faculty of Engineering at Lund University, Lund University, Technische Universität Graz, Università degli Studi di Perugia, University of Szeged","Media and Entertainment, Content and Publishing, Mobile","Malmö, Skane Lan, Sweden",3360,Series A,"$8,000,000",9500000,-1.3,"Photography, Crowdsourcing, Mobile",01/01/2013,Operating,03/03/2016,9500000,1.71,9.5,0.871
847,LanzaTech,134,"LanzaTech, Honeywell UOP, Valeo, The University of Auckland, Merichem Company","The University of Auckland, Northwestern University, Auckland University of Technology, University of Illinois at Chicago, Cornell University","Natural Resources, Energy, Sustainability","Skokie, Illinois, United States",3364,Series D,"$112,000,000",204300000,1.9,"Renewable Energy, CleanTech, Fuel, Natural Resources, Clean Energy",01/01/2005,Operating,12/08/2014,189300000,2.95,189.3,0.829
848,Momentum Machines,28,"Stanford University, Tesla, Momentum Machines Company, Lockheed Martin, General Motors","Stanford University, University of California Berkeley, University of Mary, University of Victoria, Queen's University","Science and Engineering, Travel and Tourism, Hardware, Software","San Francisco, California, United States",3366,Series Unknown,"$18,386,815",18386815,-0.6,"Hospitality, Robotics",01/01/2009,Operating,06/09/2017,18386815,0.44,18.387,1.348
849,Usermind,44,"Microsoft, Amazon, Atigeo, Marchex, Mercury Interactive","University of Washington, Cornell University, The Hebrew University of Jerusalem, University of California Berkeley, University of Washington - Michael G. Foster School of Business","Information Technology, Data and Analytics, Software, Sales and Marketing","Seattle, Washington, United States",3370,Series B,"$14,500,000",22100000,-0.2,"Business Intelligence, Software, Sales Automation, Marketing Automation",06/12/2013,Operating,03/16/2016,22100000,1.67,22.1,0.873
850,Zscaler,935,"Cisco, Zscaler, Symantec, IBM, Juniper Networks","San Jose State University, Panjab University, Kendriya Vidyalaya, The Institute of Chartered Accountants of India, Visvesvaraya Technological University","Information Technology, Privacy and Security","San Jose, California, United States",3376,Series B,"$110,000,000",148000000,-0.2,"Security, Cloud Security, Cyber Security",01/01/2008,Operating,08/03/2015,148000000,2.29,148,0.851
854,Split Software,19,"Globant, SalesforceIQ, Inspirit, LinkedIn, Google","Universidad Nacional del Centro de la Provincia de Buenos Aires, Universidad Tecnológica Nacional, Boston College, Universidad Austral, Buenos Aires, University of Buenos Aires","Hardware, Information Technology, Consumer Electronics, Software","San Francisco, California, United States",37062,Series C,"$36,000,000",63000000,-1.3,"Information Technology, Customer Service, Software, Computer, Technical Support",01/01/2014,Operating,04/20/2017,63000000,0.58,63,0.805
