Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Website,Last Funding Type,Last Funding Amount,Total Funding Amount,Trend Score (90 Days),Number of Employees,Categories,Founded Date,Status,Last Funding Date
ClearSky Data,https://www.crunchbase.com/organization/clearsky-data,"Hardware, Information Technology, Software, Internet Services","Boston, Massachusetts, United States",ClearSky Data is a VC-backed startup in stealth that is building breakthrough technology solutions in enterprise infrastructure.,4830,http://www.clearskydata.com,Series B,"$27,000,000","$39,000,000",-0.7,11-50,"Enterprise Software, Cloud Computing, Virtualization",01/01/2014,Operating,11/01/2015
ItsOn,https://www.crunchbase.com/organization/itson,"Hardware, Consumer Electronics, Mobile","Redwood City, California, United States","ItsOn provides a cloud-based smart services platform for mobile device OEMs, device OS developers, service providers and M2M developers.",4831,http://www.itsoninc.com,Series D,"$12,500,000","$52,557,776",-0.2,101-250,"SaaS, Telecommunications, Mobile Devices",01/01/2008,Operating,12/10/2015
Art.com,https://www.crunchbase.com/organization/art-com,"Commerce and Shopping, Media and Entertainment","Emeryville, California, United States","Art is an e-commerce website selling fine arts, prints and decorations made by artists and photographers.",4832,http://art.com,Series C,"$6,240,000","$56,240,000",1.4,251-500,"Retail, Art, E-Commerce",01/01/1998,Operating,01/11/2013
Splashtop,https://www.crunchbase.com/organization/devicevm,"Software, Internet Services","San Jose, California, United States","Splashtop delivers the best-in-class cross-screen collaboration, access, and support experience",4844,http://www.splashtop.com,Series D,"$10,000,000","$45,500,000",2,,"Collaboration, Software, Internet of Things, SaaS, Internet",01/01/2006,Operating,06/02/2010
Trendyol Group,https://www.crunchbase.com/organization/trendyol,"Commerce and Shopping, Design","Istanbul, Istanbul, Turkey","Trendyol is the leading online fashion destination in Turkey, offering over 2000 brands to 10 million+ customers.",4845,http://www.trendyol.com,Series C,"$25,000,000","$36,940,188",-0.4,501-1000,"E-Commerce, Fashion, Shopping",11/01/2009,Operating,07/22/2011
Pro.com,https://www.crunchbase.com/organization/pro-com,"Consumer Electronics, Real Estate","Seattle, Washington, United States",Pro.com is a nationwide pricing engine for home projects.,4848,http://Pro.com,Seed,,"$17,500,000",-0.2,11-50,"Home Renovation, Home Improvement, Home Automation",01/01/2013,Operating,03/17/2015
ZenHotels Group,https://www.crunchbase.com/organization/ostrovok,"Travel and Tourism, Commerce and Shopping, Media and Entertainment, Events","Moscow, Moscow City, Russian Federation",ZenHotels Group (largest brand - Ostrovok.ru) is a rapidly growing hotel booking platform with 500k+ hotel properties worldwide.,4866,http://www.zenhotels.com,Series B,"$25,000,000","$38,600,000",-0.1,251-500,"Travel, E-Commerce, Reservations",10/01/2010,Operating,03/26/2013
Evolv Technology,https://www.crunchbase.com/organization/evolv-technologies,"Hardware, Data and Analytics, Software, Government and Military, Administrative Services, Privacy and Security","Waltham, Massachusetts, United States","Evolv Technology applies sensors, data, and machine learning to detect and prevent a wide set of global threats to people.",4867,http://www.evolvtechnology.com,Series B,"$18,000,000","$29,819,107",-0.3,11-50,"Physical Security, Machine Learning, Computer Vision, Public Safety",08/01/2013,Operating,03/14/2017
Ninjacart,https://www.crunchbase.com/organization/ninjacart,"Agriculture and Farming, Transportation","Bengaluru, Karnataka, India",Ninjacart is India's Leading B2B agri-marketing platform that connects farmers to businesses,4876,http://ninjacart.in,Series B,"$5,500,000","$8,500,000",-0.5,101-250,"Supply Chain Management, AgTech, B2B",07/01/2015,Operating,04/11/2017
"Phil, Inc.",https://www.crunchbase.com/organization/phil-inc,Health Care,"San Francisco, California, United States",Phil – Smarter Prescription Refills,4878,http://phil.us,Series A,"$7,500,000","$9,610,000",-0.1,11-50,"Health Care, Medical Device, Medical",08/01/2015,Operating,11/30/2016
UberConference,https://www.crunchbase.com/organization/uberconference,"Hardware, Mobile","San Francisco, California, United States","With its clean, elegant UX, UberConference is audio conferencing designed to be both powerful and simple to use.",4883,http://uberconference.com,Series C,"$35,000,000","$35,000,000",-0.7,,"Mobile, Telecommunications",05/21/2012,Operating,05/19/2015
Ninebot,https://www.crunchbase.com/organization/ninebot,"Manufacturing, Science and Engineering, Hardware, Software, Transportation","Beijing, Beijing, China",Ninebot is a Chinese-based robotics engineering company specialized in autopilot and personal transportation.,4885,http://ninebot.com,Series Unknown,,"$80,000,000",-0.5,251-500,"Transportation, Robotics, Manufacturing",01/01/2012,Operating,01/16/2016
Mesosphere,https://www.crunchbase.com/organization/mesosphere,"Hardware, Information Technology, Software, Internet Services","San Francisco, California, United States",Mesosphere is a novel cloud operating system that treats your datacenter like one big computer.,4897,http://mesosphere.com,Series C,"$73,500,000","$122,250,000",1.1,101-250,"Cloud Infrastructure, Data Center Automation, Cloud Computing, Enterprise Software",03/01/2013,Operating,03/24/2016
HowAboutWe,https://www.crunchbase.com/organization/howaboutwe,"Commerce and Shopping, Data and Analytics, Internet Services","Brooklyn, New York, United States",HowAboutWe is an online platform that recommends dating activities for individuals.,4905,http://www.howaboutwe.com,Series B,"$4,200,000","$22,300,000",-0.4,,"Online Auctions, Internet, Big Data",11/01/2009,Operating,09/25/2013
PayRange,https://www.crunchbase.com/organization/payrange,"Commerce and Shopping, Software, Payments, Financial Services, Mobile","Portland, Oregon, United States",World's simplest mobile payment system for machines,4910,http://payrange.com,Series A,"$12,000,000","$15,155,067",-0.8,1-10,"Payments, Mobile Payments, Vending and Concessions",04/18/2013,Operating,06/24/2015
Udaan,https://www.crunchbase.com/organization/udaan,,"New Delhi, Delhi, India","Making online trading simple, safe and convenient .",4923,https://udaan.com/login?redirect=%2F,Series A,"$10,000,000","$10,000,000",-0.2,11-50,Business Development,01/01/2016,Operating,11/23/2016
Expel,https://www.crunchbase.com/organization/expel,"Hardware, Information Technology, Consumer Electronics, Privacy and Security","Mclean, Virginia, United States",Expel is a new Virginia-based company that seeks to address long-standing problems in the information security space.,4926,http://expel.io/,Series A,"$7,500,000","$7,500,000",0,,"Security, Information Services, Computer",01/01/2016,Operating,09/12/2016
HumanAPI,https://www.crunchbase.com/organization/humanapi,Software,"Redwood City, California, United States",Human API is the world’s first real-time health data network,4927,http://humanapi.co,Series A,"$6,624,982","$6,624,982",0.6,11-50,"Software, Developer APIs, Real Time",04/01/2013,Operating,01/16/2015
Emerald Therapeutics,https://www.crunchbase.com/organization/emerald-therapeutics,"Biotechnology, Science and Engineering, Health Care","South San Francisco, California, United States",Emerald Therapeutics is building technology platforms to drive the future of biotechnology innovation.,4932,http://www.emeraldtherapeutics.com,Series C,"$20,500,000","$34,000,000",-0.2,11-50,"Medical, Therapeutics, Biotechnology",01/01/2010,Operating,06/01/2015
Plexxi,https://www.crunchbase.com/organization/plexxi,"Hardware, Information Technology, Internet Services","Nashua, New Hampshire, United States","Plexxi, an affinity-driven networking solutions provider, develops an optimized network that improves the performance of applications.",4936,http://www.plexxi.com,Series Unknown,,"$83,400,000",-0.2,101-250,"Cloud Data Services, Data Center, Web Hosting",08/01/2010,Operating,01/20/2016
Panorama Education,https://www.crunchbase.com/organization/panorama-education,"Data and Analytics, Education","Boston, Massachusetts, United States",Panorama Education is bringing the power of data to education through a SaaS platform used by hundreds of school districts across the US.,4948,http://panoramaed.com,Series A,"$12,000,000","$16,000,000",-0.5,11-50,"Education, Analytics, Big Data",01/01/2012,Operating,08/04/2015
Domo,https://www.crunchbase.com/organization/domo,"Data and Analytics, Software","American Fork, Utah, United States",Domo delivers a SaaS-based platform that helps CEOs and business leaders transform the way they manage business via direct access to data.,4955,http://www.domo.com,Series D,"$100,000,000","$689,650,000",-2.3,501-1000,"Enterprise Software, Web Development, Business Intelligence, SaaS",10/01/2010,Operating,04/27/2017
GOAT,https://www.crunchbase.com/organization/goatapp,"Commerce and Shopping, Design, Mobile","Culver City, California, United States",GOAT is a buy and sell marketplace of sneakers on mobile.,4956,https://www.goat.com/,Series Unknown,"$25,000,000","$37,600,000",6.5,11-50,"Fashion, Mobile, E-Commerce",08/01/2010,Operating,02/07/2017
lark,https://www.crunchbase.com/organization/lark,"Hardware, Consumer Electronics, Health Care","Mountain View, California, United States",Lark is your personal weight loss coach.,4964,http://www.lark.com,Series B,"$12,000,000","$16,100,000",1.2,11-50,"Hardware, Consumer Electronics, Health Care, Wellness",01/01/2010,Operating,01/01/2015
Just Dial,https://www.crunchbase.com/organization/just-dial,"Information Technology, Internet Services","Mumbai, Maharashtra, India",Just Dial is a local search service based in India catering to over 57 million unique users.,4972,http://www.justdial.com,Post-IPO Equity,"$18,000,000","$85,000,000",-0.1,5001-10000,"Internet, Search Engine, Information Services, Local",11/14/1997,IPO,01/25/2016
Azul Systems,https://www.crunchbase.com/organization/azul-systems,"Apps, Software","Sunnyvale, California, United States",Azul Systems develops Java virtual machines and runtime platforms enabling users to develop Java applications.,4987,http://www.azulsystems.com,Series F,"$40,000,000","$177,700,000",3.4,51-100,"Software, Enterprise Applications, Consumer Applications",01/01/2002,Operating,09/13/2007
Famo.us,https://www.crunchbase.com/organization/famo-us,"Platforms, Software, Mobile","San Francisco, California, United States","Famo.us is a free, open source JavaScript framework that enables developers to build beautiful apps with 3D physics-driven animation.",4996,http://www.famous.co,Series B,"$20,000,000","$30,100,000",-0.1,11-50,"Software, iOS, Web Development, Android, Mobile",06/01/2011,Operating,08/13/2014
Qwilt,https://www.crunchbase.com/organization/qwilt,"Media and Entertainment, Software, Internet Services, Video, Content and Publishing","Redwood City, California, United States",Qwilt develops pioneering video delivery technology to power the online entertainment revolution.,5008,http://www.qwilt.com,Series D,"$25,000,000","$65,100,000",-0.4,101-250,"Internet, Video Streaming, Software",01/01/2010,Operating,06/24/2015
Twine Health,https://www.crunchbase.com/organization/twine-health,Health Care,"Cambridge, Massachusetts, United States",Twine Health is a cloud-based collaborative care platform for chronic disease management.,5015,http://www.twinehealth.com/,Series A,"$1,500,000","$8,250,000",-0.3,11-50,Health Care,01/01/2014,Operating,05/05/2017
Autonomic Technologies,https://www.crunchbase.com/organization/autonomic-technologies,Health Care,"San Francisco, California, United States",Autonomic Technologies develops medical devices that interface with the autonomic nervous system to improve health.,5022,http://www.ati-spg.com,Debt Financing,,"$136,200,000",0,11-50,"Medical Device, Health Care, Wellness",01/01/2007,Operating,01/01/2016
E la Carte,https://www.crunchbase.com/organization/e-la-carte,"Hardware, Food and Beverage","Palo Alto, California, United States","E la Carte develops tablets for restaurants, which allow customers to go through the menu, place orders, and pay right from their seat.",5030,http://elacarte.com,Debt Financing,"$15,000,000","$67,500,000",-0.2,51-100,"Hardware, Restaurants, Food and Beverage",01/01/2008,Operating,04/28/2016
Swipe Labs,https://www.crunchbase.com/organization/swipe-labs-2,"Hardware, Information Technology, Consumer Electronics, Software, Mobile","San Francisco, California, United States",Swipe allows you to see the photos & videos your friends won’t post on Facebook.,5033,https://joinswipe.com/,Series Unknown,"$6,500,000","$6,500,000",0,11-50,"Software, Enterprise Software, Information Technology, Mobile, Computer",01/01/2014,Operating,01/29/2015
JuMei.com,https://www.crunchbase.com/organization/jumei-com,"Commerce and Shopping, Consumer Goods","Beijing, Beijing, China",JuMei.com is a China-based online cosmetic shopping platform focused on make-up and skin-care brands.,5052,http://bj.jumei.com,Series B,,"$10,000,000",-0.6,51-100,"Cosmetics, Shopping, E-Commerce",01/01/2010,IPO,02/01/2012
Solarflare Communications,https://www.crunchbase.com/organization/solarflare,"Information Technology, Data and Analytics, Software, Privacy and Security","Irvine, California, United States",Solarflare Communications develops application-intelligent 10GbE server networking software and hardware solutions.,5074,http://www.solarflare.com,Series Unknown,"$22,240,273","$304,989,098",-0.4,101-250,"Enterprise Software, Big Data, Network Security",01/01/2001,Operating,11/30/2016
Farmigo,https://www.crunchbase.com/organization/farmigo,"Travel and Tourism, Sustainability, Food and Beverage, Consumer Goods","Brooklyn, New York, United States","Farmigo makes it possible to order fresh, local, farm-to-table food by creating a scalable alternative to the traditional supermarket",5079,http://www.farmigo.com,Series B,"$16,000,000","$26,000,000",-0.2,51-100,"Green Consumer Goods, Hospitality, Food and Beverage",08/01/2009,Operating,09/30/2015
Branch International,https://www.crunchbase.com/organization/branch-2,"Apps, Software, Financial Services","San Francisco, California, United States",Branch is a new way to access credit over a smartphone in emerging markets.,5092,http://branch.co/,Series A,"$9,200,000","$9,200,000",0,11-50,"Apps, Financial Services",01/01/2015,Operating,03/30/2016
Korbit,https://www.crunchbase.com/organization/korbit,"Software, Payments, Financial Services","Seoul, Seoul-t'ukpyolsi, South Korea",Korbit started by offering the world's first Bitcoin-Korean Won exchange.,5106,http://korbit.co.kr,Series A,"$3,000,000","$6,516,136",3.7,11-50,"Finance, Bitcoin",07/05/2013,Operating,07/25/2015
KredX,https://www.crunchbase.com/organization/mandii,"Commerce and Shopping, Internet Services, Financial Services","Bangalore, Karnataka, India",Kredx is India's first online invoice discounting platform,5108,https://www.kredx.com/,Series A,"$6,250,000","$7,000,000",-0.2,11-50,"Internet, FinTech, Marketplace, Peer to Peer",01/01/2015,Operating,10/25/2016
Bonfire Studios,https://www.crunchbase.com/organization/bonfire-studios,Gaming,"Irvine, California, United States",Bonfire studios is an independent game studio in Orange County California.,5109,http://www.bonfirestudios.com/,Series Unknown,"$25,000,000","$25,000,000",-0.8,11-50,"Gamification, Online Games, Gaming",03/03/2016,Operating,09/12/2016
NuVasive,https://www.crunchbase.com/organization/nuvasive,"Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",NuVasive is a medical device company developing minimally disruptive surgical products and procedurally integrated solutions for the spine.,5120,http://www.nuvasive.com,Post-IPO Equity,"$40,462,984","$65,262,984",-0.7,1001-5000,"Biotechnology, Medical Device, Health Care",01/01/1997,IPO,10/19/2011
HYLA Mobile,https://www.crunchbase.com/organization/erecycling-corps,"Hardware, Consumer Electronics, Mobile","Farmers Branch, Texas, United States",HYLA Mobile' work will create economic opportunity for all who participate; help promote digital inclusion.,5121,http://www.hylamobile.com,Series C,"$105,000,000","$140,000,000",-0.1,51-100,"Hardware, Mobile, Mobile Devices",01/01/2009,Operating,10/28/2013
Narrative,https://www.crunchbase.com/organization/narrative,"Hardware, Consumer Electronics, Data and Analytics, Software","San Francisco, California, United States",Narrative provides hardware and software tools for automatic visual storytelling and known for the wearable camera narrative clip.,5123,http://getnarrative.com,Series B,"$8,000,000","$12,225,000",-0.8,11-50,"Hardware, Image Recognition, Software, Consumer Electronics, Wearables",03/01/2012,Operating,09/04/2014
Brit + Co,https://www.crunchbase.com/organization/brit,"Commerce and Shopping, Media and Entertainment, Events, Internet Services","San Francisco, California, United States","Brit + Co is a media company that inspires, educates and entertains real women with a creative spirit.",5124,http://www.brit.co,Series C,"$15,000,000","$42,550,000",1.9,101-250,"Internet, Events, E-Commerce, Retail, Digital Media",11/01/2011,Operating,05/18/2017
Qvivr,https://www.crunchbase.com/organization/qvivr,"Software, Payments, Internet Services, Financial Services, Mobile","Fremont, California, United States","Qvivr is the maker of SWYP, the next generation wallet that makes payments smart, secure, and simple.",5132,http://www.swypcard.com,Series A,"$5,000,000","$6,755,027",-0.1,1-10,"Mobile Payments, Internet of Things, FinTech",01/01/2014,Operating,01/31/2017
Willing,https://www.crunchbase.com/organization/willing,"Commerce and Shopping, Health Care","Miami, Florida, United States",Willing helps make funeral arrangements easier,5138,http://willing.com/,Series A,"$7,000,000","$7,120,000",-0.3,1-10,"Funerals, E-Commerce, Elder Care",01/01/2014,Operating,11/03/2016
Zenoti,https://www.crunchbase.com/organization/managemyspa,"Software, Mobile","Bellevue, Washington, United States","Enterprise, cloud software for wellness & beauty businesses. Clients manage operations & go mobile with Zenoti's all-in-one platform.",5144,http://www.zenoti.com,Series B,"$15,000,000","$21,000,000",0,101-250,"Software, Enterprise Software, SaaS, Mobile",01/01/2010,Operating,08/11/2016
Hutch,https://www.crunchbase.com/organization/homee,"Apps, Commerce and Shopping, Information Technology, Real Estate, Community and Lifestyle, Software, Consumer Goods, Internet Services, Messaging and Telecommunications, Mobile","West Hollywood, California, United States","Hutch (formerly HOMEE) is a mobile app that transforms spaces from before to after, faster than ever.",5146,http://hutch.com/,Series A,"$5,000,000","$7,135,000",-0.2,11-50,"Messaging, Furniture, Lifestyle, Mobile, Apps, Home Decor, E-Commerce",09/15/2015,Operating,07/01/2016
Nugit,https://www.crunchbase.com/organization/nugit,"Science and Engineering, Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Advertising","Singapore, Central Region, Singapore",Nugit transforms business data into decision ready reports which are easy for people to understand and share.,5153,https://nugit.co/,Series Unknown,"$5,200,000","$5,200,000",1.1,11-50,"Analytics, Advertising, Artificial Intelligence, Business Intelligence, Marketing Automation, Digital Media",01/01/2013,Operating,10/06/2016
Artivest,https://www.crunchbase.com/organization/artivest,"Financial Services, Lending and Investments","New York, New York, United States",Artivest connects a wider audience of suitable investors with investment opportunities in top-quality private equity.,5154,http://www.artivest.co,Series A,"$15,000,000","$17,000,000",0.3,11-50,"Financial Services, FinTech, Wealth Management, Impact Investing",01/01/2011,Operating,05/04/2015
Indeni,https://www.crunchbase.com/organization/indeni,"Information Technology, Software, Privacy and Security","San Francisco, California, United States",Indeni makes it easy to manage the critical network infrastructure of digital businesses.,5158,http://www.indeni.com,Series A,"$10,000,000","$10,000,000",-0.2,11-50,"Enterprise Software, Network Security, IT Management",07/01/2009,Operating,11/08/2016
RebelMouse,https://www.crunchbase.com/organization/rebelmouse,"Media and Entertainment, Sales and Marketing, Internet Services, Content and Publishing, Advertising","New York, New York, United States",RebelMouse is the first publishing platform fully wired for social. Enabling brands & publishers to create vibrant content experiences,5170,http://rebelmouse.com,Series A,"$6,000,000","$18,750,000",-0.6,11-50,"Content, Social Media, Digital Media, Publishing, Advertising",06/06/2012,Operating,04/06/2015
Weave,https://www.crunchbase.com/organization/weave,"Hardware, Health Care","Lehi, Utah, United States","Unified communication platform that combines voice, SMS, and email with existing practice management software.",5179,http://www.getweave.com,Series B,"$15,500,000","$20,500,000",0,51-100,"Health Care, Dental, Medical, Telecommunications, Veterinary",12/01/2008,Operating,11/03/2015
KIXEYE,https://www.crunchbase.com/organization/kixeye,"Gaming, Software","San Francisco, California, United States","KIXEYE is an independent game developer responsible for titles like Desktop Defender, Backyard Monsters, Battle Pirates and War Commander.",5187,http://www.kixeye.com,Series C,"$18,000,000","$22,100,000",3.3,501-1000,"Video Games, Developer Platform, PC Games",01/01/2007,Operating,08/03/2011
Zilingo,https://www.crunchbase.com/organization/zilingo,"Commerce and Shopping, Internet Services, Mobile","Singapore, Central Region, Singapore",Zilingo is an online marketplace that allows companies and sellers alike to sell their products.,5188,http://www.zilingo.com/,Series A,"$8,000,000","$9,880,000",0.5,11-50,"Marketplace, Mobile, Internet",01/01/2015,Operating,09/05/2016
Craftsvilla,https://www.crunchbase.com/organization/craftsvilla,"Commerce and Shopping, Internet Services, Design","Mumbai, Maharashtra, India",Largest Online Ethnic Store with Strong funding.,5192,http://www.craftsvilla.com,Series C,"$34,000,000","$54,500,000",-0.3,101-250,"E-Commerce, Marketplace, Fashion, Internet, Handmade",01/01/2011,Operating,11/17/2015
OpenGov,https://www.crunchbase.com/organization/opengov,"Information Technology, Data and Analytics, Software, Government and Military, Design","Redwood City, California, United States","OpenGov offers cloud-based software that visualizes municipal financial data, allowing governments to access, analyze, and share data.",5198,http://opengov.com,Series C,"$30,000,000","$77,000,000",3.5,101-250,"GovTech, SaaS, Enterprise Software, Data Visualization, Analytics",01/01/2012,Operating,05/16/2017
Adaptly,https://www.crunchbase.com/organization/adapt-ly,"Sales and Marketing, Internet Services, Advertising","New York, New York, United States",Adaptly enables the world’s biggest advertisers to scale campaigns across walled gardens through technology and strategic services.,5201,http://adaptly.com,Series B,"$10,500,000","$13,200,000",0,101-250,"Marketing, Social Network, Advertising",04/14/2010,Operating,05/09/2012
PatternEx,https://www.crunchbase.com/organization/patternex,Information Technology,"San Jose, California, United States",PatternEx combines the power of humans and machines into a system that detects cyber threats at huge scale and in real time.,5203,http://patternex.com/,Series A,"$7,800,000","$7,800,000",-0.2,11-50,Information Technology,01/01/2013,Operating,07/26/2016
HealthSherpa,https://www.crunchbase.com/organization/healthsherpa,"Biotechnology, Science and Engineering, Health Care, Financial Services","San Francisco, California, United States",HealthSherpa enables customers to sign up for health insurance and federal marketplace plans.,5212,https://www.healthsherpa.com/,Series A,"$7,000,000","$10,000,000",-0.5,11-50,"Health Insurance, Health Care, Biotechnology",11/01/2013,Operating,02/01/2017
ClusterHQ,https://www.crunchbase.com/organization/hybridcluster,"Hardware, Information Technology, Data and Analytics, Software, Internet Services","Bristol, Bristol, City of, United Kingdom",Run your databases in Docker and make them as portable as the rest of your app.,5213,https://clusterhq.com/,Series A,"$12,000,000","$18,026,456",-0.6,11-50,"Database, Cloud Computing, Private Cloud, Enterprise Software",01/01/2008,Operating,02/05/2015
Piazza,https://www.crunchbase.com/organization/piazzza,"Professional Services, Education","Palo Alto, California, United States",Piazza is one of the largest social learning and recruiting platforms in the country for technical students.,5215,http://piazza.com,Series B,"$8,000,000","$15,500,000",-0.1,11-50,"Education, Recruiting, Social, Technical Support",01/01/2009,Operating,02/24/2014
Rebagg,https://www.crunchbase.com/organization/rebagg,"Commerce and Shopping, Design","New City, New York, United States",Rebagg purchases high-end designer handbags for cash. We offer guaranteed pricing and a prepaid shippingbox anywhere within the US.,5216,http://www.rebagg.com,Debt Financing,"$3,500,000","$16,300,000",-0.2,,"Fashion, E-Commerce, Retail",01/01/2014,Operating,08/10/2016
Segment,https://www.crunchbase.com/organization/segment-io,"Apps, Data and Analytics, Software","San Francisco, California, United States","Segment is a single hub for customer data. Collect your customer data in one place, send it anywhere.",5217,http://segment.com,Series B,"$27,000,000","$44,720,000",-0.3,101-250,"Developer APIs, Analytics, Apps",01/01/2012,Operating,10/09/2015
"Qualia Labs, Inc",https://www.crunchbase.com/organization/qualia-labs-inc,Software,"San Francisco, California, United States",Modern title and closing software that is truly easy to use,5223,https://www.qualia.com,Series A,"$7,000,000","$7,000,000",0.9,51-100,Enterprise Software,01/01/2015,Operating,09/30/2015
UXPin,https://www.crunchbase.com/organization/uxpin,"Hardware, Information Technology, Consumer Electronics, Software","Mountain View, California, United States","UXPin allows product teams and designers to build low and high-fidelity, interactive, realistic web and mobile wireframes and prototypes.",5231,http://uxpin.com,Series A,"$5,000,000","$7,300,000",0,11-50,"Information Technology, Computer, Software",11/11/2010,Operating,07/23/2015
All Def Digital,https://www.crunchbase.com/organization/all-def-digital,Media and Entertainment,"Los Angeles, California, United States","ALL DEF DIGITAL is a premium, multi-platform digital media company and entertainment hub",5237,http://alldefdigital.com,Series B,"$10,000,000","$15,000,000",-0.1,1-10,"Digital Entertainment, Digital Media, Media and Entertainment",01/01/2013,Operating,06/29/2016
Seatwave,https://www.crunchbase.com/organization/seatwave,"Commerce and Shopping, Media and Entertainment, Events","London, England, United Kingdom",Seatwave is an online marketplace that allows users to sell and buy tickets for live events in the UK.,5252,http://www.seatwave.com,Series D,"$17,000,000","$53,000,000",3.1,,"Events, Marketplace, Ticketing, E-Commerce",01/01/2006,Operating,06/01/2009
"Rhumbix, Inc.",https://www.crunchbase.com/organization/rhumbix-inc-,"Real Estate, Data and Analytics, Software, Mobile","San Francisco, California, United States",Rhumbix is a mobile platform designed for the construction craft workforce.,5260,http://www.rhumbix.com,Series Unknown,"$6,300,000","$13,434,517",0.7,11-50,"Mobile, Construction, Enterprise Software, Analytics",01/01/2014,Operating,12/07/2016
mySupermarket,https://www.crunchbase.com/organization/mysupermarket,"Commerce and Shopping, Food and Beverage","London, England, United Kingdom","mySupermarket is a free to use, independent shopping and comparison website for groceries.",5293,http://www.mysupermarket.co.uk,Series D,"$10,000,000","$32,800,000",2.3,51-100,"Food and Beverage, Grocery, Shopping",01/01/2005,Operating,04/19/2012
Elation Health,https://www.crunchbase.com/organization/elationemr,Health Care,"San Francisco, California, United States",Elation is a venture-funded healthcare start-up dedicated to improving the physician-patient relationship.,5296,http://elationhealth.com/,Series B,"$15,000,000","$15,000,000",-0.3,11-50,"Health Care, Personal Health, Medical",01/01/2008,Operating,08/04/2016
Pyramid Analytics,https://www.crunchbase.com/organization/pyramid-analytics,"Information Technology, Data and Analytics, Software","Amsterdam, Noord-Holland, The Netherlands",Pyramid Analytics provides trusted insights for every employee across your organization with enterprise-level business analytics software.,5302,http://www.pyramidanalytics.com,Series B,"$30,000,000","$41,500,000",-0.6,101-250,"Enterprise Software, Analytics, Business Information Systems, Business Intelligence",01/01/2008,Operating,10/20/2015
WRLD,https://www.crunchbase.com/organization/eegeo,"Apps, Hardware, Navigation and Mapping, Real Estate, Software, Internet Services","Dundee, Dundee City, United Kingdom","A dynamic 3D mapping platform for indoor spaces, smart cities, gaming, AR/VR experiences and more.",5322,https://www.wrld3d.com,Series Unknown,"$5,000,000","$11,800,000",5.3,11-50,"Mapping Services, Apps, Virtual Reality, Smart Building, 3D Technology, Software, Internet of Things",09/01/2010,Operating,03/16/2016
Folloze,https://www.crunchbase.com/organization/folloze,"Media and Entertainment, Data and Analytics, Internet Services","Palo Alto, California, United States",Folloze is a prospect engagement platform for B2B sales and marketing.,5330,http://www.folloze.com,Series A,"$7,300,000","$10,600,000",-0.1,11-50,"Social Media, Content, Analytics",01/01/2013,Operating,09/29/2016
Packlink - Simply Shipping,https://www.crunchbase.com/organization/packlink,"Commerce and Shopping, Transportation, Internet Services","Madrid, Madrid, Spain",Packlink & Packlink PRO are an online platform that offers cost-effective package delivery services in Spain and internationally.,5346,http://www.packlink.com,Series C,"$12,600,000","$23,522,700",0,101-250,"E-Commerce Platforms, Price Comparison, E-Commerce, Logistics, Shipping",01/01/2011,Operating,09/14/2015
OANDA Corporation,https://www.crunchbase.com/organization/oanda,"Media and Entertainment, Data and Analytics, Content and Publishing, Financial Services","Toronto, Ontario, Canada",OANDA Corporation is a foreign exchange company that provides internet-based forex trading and currency information services.,5349,http://www.oanda.com,Series B,"$100,000,000","$117,000,000",2.7,,"Analytics, News, Finance",01/01/1995,Operating,09/17/2007
N3TWORK,https://www.crunchbase.com/organization/n3twork,"Gaming, Mobile","San Francisco, California, United States",N3TWORK is a new type of mobile games creator and publisher.,5352,http://n3twork.com,Series A,"$5,000,000","$17,000,000",0.8,11-50,"Video Games, Mobile, Gamification",01/01/2013,Operating,02/18/2015
DB Networks,https://www.crunchbase.com/organization/db-networks,"Information Technology, Privacy and Security","San Diego, California, United States","DB Networks provide insights into your database infrastruture including database discovery, insider threats and database attacks.",5365,http://www.dbnetworks.com,Series B,"$17,000,000","$23,800,000",0,51-100,"Security, Network Security, Cyber Security",01/01/2009,Operating,12/11/2014
Beautylish,https://www.crunchbase.com/organization/beautylish,"Commerce and Shopping, Software, Consumer Goods, Internet Services","San Francisco, California, United States",Beautylish is a social commerce website for the cosmetic industry that enables users to share beauty-related content with other users.,5376,http://www.beautylish.com,Series Unknown,"$6,500,000","$8,500,000",-0.1,51-100,"E-Commerce, Cosmetics, Web Browsers",02/01/2010,Operating,05/30/2013
33Across,https://www.crunchbase.com/organization/33across,"Media and Entertainment, Sales and Marketing, Internet Services, Content and Publishing, Advertising","New York, New York, United States","33Across is a publisher monetization and traffic platform, named Best Publisher Technology by Digiday.",5384,http://www.33across.com,Series C,"$13,100,000","$25,654,560",-0.1,51-100,"Advertising Platforms, Internet, Social Media Management, Social Media, Content Discovery",09/01/2007,Operating,07/19/2012
Ionic,https://www.crunchbase.com/organization/ionic,"Software, Mobile","Madison, Wisconsin, United States",Ionic's open source technology and tools help web developers build amazing mobile apps,5394,http://ionicframework.com/,Series A,"$8,500,000","$12,218,000",1.5,11-50,"Software, Mobile, Web Development, Developer Tools",01/01/2012,Operating,04/28/2016
