Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
LLR Partners,/organization/llr-partners,53,18,"Philadelphia, Pennsylvania, United States","LLR Partners, a private equity firm based in Philadelphia, Pennsylvania, provides capital to middle market growth companies.","3,373",2.9,Private Equity Firm,Private Equity
Pelion Venture Partners,/organization/pelion-venture-partners,108,18,"Salt Lake City, Utah, United States","Formerly UV Partners Since 1986, Pelion Venture Partners has been helping entrepreneurs turn early-stage concepts into tomorrow's","3,797",-4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Zelkova Ventures,/organization/zelkova-ventures,62,18,"New York, New York, United States",Zelkova Ventures is a venture capital firm committed to helping entrepreneurs build companies.,"3,901",-1.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Harris & Harris Group,/organization/harris-harris-group,103,18,"New York, New York, United States","With some 25 tiny technology companies in our portfolio, Harris & Harris Group, Inc.Â®, is one of the most active nanotechnology investors","4,382",1.3,Venture Capital,"Post-Ipo, Seed, Late Stage Venture, Debt, Early Stage Venture"
Opus Capital,/organization/opus-capital,81,18,"Menlo Park, California, United States","At Opus Capital, they are energized and excited about venture investing. The outlook for early-stage technology companies is very","4,488",-1.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
CIT GAP Funds,/organization/cit-gap-funds,136,18,"Herndon, Virginia, United States","CIT GAP Funds makes seed-stage equity investments in technology and life science companies based in Virginia, USA.","5,364",0.7,Government Office,"Seed, Early Stage Venture, Private Equity"
Marc Bell Ventures,/organization/marc-bell-ventures,155,18,"Boca Raton, Florida, United States","Marc Bell Capital is an investment firm with a focus on venture capital, private equity, finance, hospitality, and theatrical endeavors.","5,510",-0.4,Venture Capital,"Seed, Debt, Early Stage Venture, Non Equity Assistance, Private Equity"
NAV.VC,/organization/new-atlantic-ventures,87,18,"Reston, Virginia, United States","NAV.VC is an early-stage venture capital firm investing in cybersecurity, mobile, e-commerce and digital media companies.","5,844",0,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Vanguard Ventures,/organization/vanguard-ventures,56,18,"San Jose, California, United States",Vanguard Ventures is a leading early stage venture capital firm that helps entrepreneurs build pioneering technology and life science,"7,444",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
Fuse Capital,/organization/fuse-capital,47,18,"Palo Alto, California, United States",Fuse Capital (formerly Velocity Interactive Group and fused with ComVentures) is a leading investment and strategic equity management firm,"9,490",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
RVC (Reuters Venture Capital),/organization/reuters-venture-capital,31,18,"London, England, United Kingdom","RVC, the former venture capital arm of Reuters, was set up in 1994 and began investing with RVC I (originally known as The Greenhouse Fund).","11,164",-0.9,Venture Capital,
Centennial Ventures,/organization/centennial-ventures,53,18,"Denver, Colorado, United States","Centennial Ventures is a Colorado-based venture capital firm that invests in network companies, and software and technology enterprises.","11,347",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
CenterPoint Venture Partners,/organization/centerpoint-venture-partners,55,18,"Dallas, Texas, United States",CenterPoint Ventures is one of the largest early-stage venture capital firms based in the Southwest.,"12,750",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Hikari Tsushin Group,/organization/hikari-tsushin-group,35,18,"Tokyo, Tokyo, Japan","Hikari Tsushin Group is a Tokyo-based venture capital firm that finances early- and late-stage ventures, and post-IPO equity investments.","14,020",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Post-Ipo"
VentureTech Alliance,/organization/venturetech-alliance,44,18,"San Jose, California, United States","TechAlliance empowers London and Southwestern Ontarioâ€™s technology sector. They prepare todayâ€™s entrepreneurs to launch new ventures,","17,017",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Google,/organization/google,60,17,"Mountain View, California, United States",Google is a multinational corporation that is specialized in internet-related services and products.,27,-1.4,,
Marc Benioff,/person/marc-benioff,102,17,"San Francisco, California, United States","Marc Benioff is chairman and CEO of Salesforce. One of the pioneers of cloud computing, Benioff founded the company in 1999 with a vision to...",271,5.2,Individual/Angel,Seed
Innovation Works,/organization/innovation-works,262,17,"Pittsburgh, Pennsylvania, United States","Innovation Works invests capital, business expertise and resources into companies with the greatest likelihood of regional economic impact.",878,3.9,Incubator,"Seed, Early Stage Venture"
Silver Lake Partners,/organization/silver-lake-partners,42,17,"Menlo Park, California, United States",Silver Lake is a private investment firm focused solely on making large-scale investments in leading technology companies.,"1,299",1,Private Equity Firm,"Late Stage Venture, Private Equity, Debt"
Artis Ventures (AV),/organization/artis,60,17,"San Francisco, California, United States","ARTIS Ventures finances seed, early, and later stage venture investments and is based in San Francisco, California.","1,602",7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
EPIC Ventures,/organization/epic-ventures,117,17,"Salt Lake City, Utah, United States",EPIC Ventures is an investment company working with driven entrepreneurs to build successful and lasting companies.,"1,738",-1.7,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Fidelity Management and Research Company,/organization/fidelity-management-and-research-company,41,17,"Boston, Massachusetts, United States",Fidelity Management & Research Company is a privately owned investment manager.,"1,819",4.4,Private Equity Firm,
New York Angels,/organization/new-york-angels,123,17,"New York, New York, United States",New York Angels is a professional angel organization comprised of 110+ individually investing members.,"1,962",-1.4,Angel Group,"Seed, Early Stage Venture, Debt"
MaRS Investment Accelerator Fund,/organization/mars-investment-accelerator-fund,141,17,"Toronto, Ontario, Canada","MaRS IAF is a leading seed stage investor in Ontario, investing in IT, health and cleantech companies.","2,327",-1.8,Incubator,"Seed, Early Stage Venture"
Streamlined Ventures,/organization/streamlined-ventures,108,17,"Palo Alto, California, United States","Streamlined Ventures is a California-based, seed-stage investment firm focused on mobile, social, and enterprise web companies.","3,494",-0.9,Venture Capital,"Seed, Early Stage Venture"
Hadi Partovi,/person/hadi-partovi,40,17,"Bellevue, Washington, United States","Hadi Partovi is an entrepreneur and investor, and CEO of the education non-profit Code.org.  In 2013 Hadi and his twin brother Ali launch...","4,805",-3.1,Individual/Angel,Seed
Swisscom Ventures,/organization/swisscom-ventures,60,17,"Bern, Bern, Switzerland","Swisscom Ventures is Switzerland's most active venture capital investor, specialized in early stage tech investments.","5,074",0.3,"Venture Capital, Corporate Venture Capital","Seed, Early Stage Venture, Late Stage Venture, Convertible Note"
Anthem Venture Partners,/organization/anthem-venture-partners,67,17,"Santa Monica, California, United States",Anthem Venture Partners is a venture capital firm.,"5,827",-0.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
TELUS Ventures,/organization/telus-ventures,100,17,"Vancouver, British Columbia, Canada","TELUS Ventures is the strategic venture investment arm of TELUS, a leading North American telecommunications firm.","6,221",-0.6,Corporate Venture Capital,Early Stage Venture
Business Development Bank of Canada,/organization/business-development-bank-of-canada,83,17,"Montréal, Quebec, Canada",BDC is the only bank dedicated exclusively to entrepreneurs.,"6,353",-2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Chevron Technology Ventures,/organization/chevron-technology-ventures,55,17,"Houston, Texas, United States","Chevron Technology Ventures champions innovation, commercialization and integration of emerging technologies within Chevron.","6,445",-0.8,"Venture Capital, Corporate Venture Capital","Early Stage Venture, Late Stage Venture"
Wellington Financial,/organization/wellington-financial,42,17,"San Francisco, California, United States","Wellington Financial LP is a privately-held specialty finance firm providing term, venture and amortizing loans up to $40 million","6,984",-1.5,Venture Capital,Debt
Cedar Fund,/organization/cedar-fund,75,17,"Herzliya, Tel Aviv, Israel","Cedar Fund specializes in early stage, Israel-related investments, including Pre-Seed, seed and first round, where its strategy and","7,009",-0.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Dreamit,/organization/dreamit-ventures,247,17,"Philadelphia, Pennsylvania, United States",Dreamit helps exceptional people build exceptional companies.,"7,819",-2.3,Accelerator,"Seed, Early Stage Venture, Late Stage Venture"
Pamlico Capital,/organization/pamlico-capital,38,17,"Charlotte, North Carolina, United States",Pamlico Capital seeks equity and buyout investments in businesses.,"7,983",-1.5,Private Equity Firm,Private Equity
Pappas Ventures,/organization/pappas-ventures,46,17,"Durham, North Carolina, United States",Pappas Ventures provides investment in the life sciences sector.,"9,794",-1.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Sequel Venture Partners,/organization/sequel,49,17,"Boulder Creek, California, United States","Sequel Venture Partners, based in Boulder, Colorado, provides venture funding for early stage technology businesses.","10,505",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
Skypoint Capital,/organization/skypoint-capital,39,17,"Ottawa, Ontario, Canada",Skypoint Capital targets the business opportunities and disruptive technologies that will become the building blocks for the next,"16,678",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture"
Panorama Capital,/organization/panorama-capital,41,17,"Campbell, California, United States",Panorama Capital invests in passionate entrepreneurs building leading companies in life sciences and technology.,"17,218",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Mitsubishi International Corporation (MIC),/organization/mitsubishi-corporation-life-sciences-venture,24,17,"Andover, Massachusetts, United States","As a wholly owned subsidiary of Mitsubishi Corporation, Mitsubishi International Corporation (MIC) is a unique knowledge-based company.","21,595",-0.9,Corporate Venture Capital,Early Stage Venture
Amazon,/organization/amazon,53,16,"Seattle, Washington, United States","Amazon.com is an international e-commerce website for consumers, sellers, and content creators.",53,-2,,
Sherpa Capital,/organization/sherpa-ventures,127,16,"San Francisco, California, United States",Sherpa Capital supports the most promising emerging technology-enabled companies.,309,9.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Nokia,/organization/nokia,36,16,"Helsinki, Southern Finland, Finland","Nokia, a Finnish multinational communications corporation engaged in the manufacturing of mobile devices, network infrastructure, and more.",339,0.1,,
Shervin Pishevar,/person/shervin-pishevar,32,16,"San Francisco, California, United States","Shervin Pishevar is a Managing Director at Sherpa Capital, a San Francisco-based venture capital firm he co-founded with Scott Stanford in M...",953,-0.5,"Investment Partner, Individual/Angel",Seed
Verizon Ventures,/organization/verizon-ventures,88,16,"Basking Ridge, New Jersey, United States",Verizon Ventures invests in promising entrepreneurial companies to drive innovation in Verizon Communications Inc.,996,-0.2,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
SharesPost Investment Management,/organization/sharespost-investment-management,55,16,"Menlo Park, California, United States",SharesPost Investment Management manages the public Sharespost 100 Fund (PRIVX) and other funds.,"1,144",8.9,Private Equity Firm,"Late Stage Venture, Secondary Market"
Maverick Capital,/organization/maverick-capital,80,16,"Dallas, Texas, United States",Maverick is a registered investment advisor managing private investment funds for qualified investors.,"1,278",1,Hedge Fund,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
OpenView,/organization/openview-venture-partners,72,16,"Boston, Massachusetts, United States",OpenView is an expansion stage venture firm helping build software companies into market leaders.,"1,476",3.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
WI Harper Group,/organization/wi-harper-group,126,16,"San Francisco, California, United States","WI Harper Group is a venture capital firm that focuses on early and expansion investments in Mainland China, Taiwan and Silicon Valley.","1,551",3.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
WPP Ventures,/organization/wpp-ventures,64,16,"London, England, United Kingdom","WPP Ventures is the strategic corporate venture capital fund for WPP, the world's largest communications services group.","1,661",3.2,Corporate Venture Capital,Early Stage Venture
Alsop Louie Partners,/organization/alsop-louie-partners,62,16,"San Francisco, California, United States",Alsop Louie Partners is a risk-oriented technology venture capital firm that offers financial services to early stage companies.,"2,799",0.7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
RockPort Capital,/organization/rockport-capital-partners,98,16,"Boston, Massachusetts, United States","RockPort Capital Partners is a leading venture capital firm that invests in the areas of energy, mobility, and sustainability.","3,129",3.1,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Foresite Capital,/organization/foresite-capital,37,16,"San Francisco, California, United States",Foresite Capital provides growth capital to healthcare leaders that aim to transform patient care.,"3,193",1.4,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Capricorn Venture Partners,/organization/capricorn-venture-partners,56,16,"Leuven, Vlaams-Brabant, Belgium",Capricorn Venture Partners is a Belgium-based manager of project capital and equity funds which invests in technology companies.,"3,908",2.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Garage Technology Ventures,/organization/garage-technology-ventures,64,16,"Palo Alto, California, United States",Garage Technology Ventures is a seed and early-stage venture capital firm co-founded by Guy Kawasaki and Bill Reichert.,"4,009",-0.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Translink Capital,/organization/translink-capital,82,16,"Palo Alto, California, United States",TransLink helps entrepreneurs develop customer connections and partnerships in Asia,"4,159",-1.2,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
First Analysis,/organization/first-analysis,63,16,"Chicago, Illinois, United States","First Analysis is a venture capital investment company that offers equity research, investment banking, and sales and trading services.","4,736",1.7,Venture Capital,"Early Stage Venture, Late Stage Venture"
XG Ventures,/organization/xg-ventures,92,16,"Menlo Park, California, United States","XG Ventures focuses on the consumer internet, including the mobile, video, gaming, social media, and online media sectors.","5,337",-0.4,Micro VC,"Seed, Early Stage Venture"
Dharmesh Shah,/person/dharmesh-shah,48,16,"Boston, Massachusetts, United States","Dharmesh Shah is co-founder and CTO of HubSpot. Prior to HubSpot, he was founder and chief executive officer of Pyramid Digital Solutions, a...","5,506",0,Individual/Angel,Seed
StarVest Partners,/organization/starvest-partners,74,16,"New York, New York, United States",Early investor in Enterprise SaaS and B2B Marketplace Solutions such as NetSuite and Fieldglass.,"5,557",-1.9,Venture Capital,"Early Stage Venture, Late Stage Venture"
TDF Ventures,/organization/tdf-ventures,64,16,"Chevy Chase, Maryland, United States","TDF Ventures is a venture capital firm that targets Series A investments in enterprise software, communications, and technology companies.","5,833",-0.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Frontier Capital,/organization/frontier-capital,35,16,"Charlotte, North Carolina, United States",Frontier Capital is a North Carolina-based growth equity firm focused on software and technology-enabled business services companies.,"6,100",-0.4,Venture Capital,Private Equity
Solstice Capital,/organization/solstice-capital,41,16,"Salem, Massachusetts, United States",Solstice Capital seeks superior venture capital returns for its limited partners through investments in seed- and early-stage companies in,"6,236",3.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
Actua Corporation,/organization/icg-group,44,16,"Radnor, Pennsylvania, United States","Actua brings the power of the cloud to industry-specific vertical markets, including government, compliance, wealth management & insurance.","6,320",1.8,,
ModusLink Global Solutions,/organization/moduslink-global-solutions,43,16,"Waltham, Massachusetts, United States","ModusLink Global Solutions, Inc., through its subsidiaries, provides supply chain business process management solutions worldwide.","6,693",1.8,,
AFSquare,/organization/afsquare,44,16,"Culver City, California, United States",The mission of AF Square is to discover companies whose business model disrupts the status quo.,"6,823",-0.4,,
ATA Ventures,/organization/ata-ventures,92,16,"Redwood City, California, United States",ATA Ventures is a venture capital firm focused on seeking out early stage private companies which appear to offer above average prospects,"8,132",-0.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
North Atlantic Capital,/organization/north-atlantic-capital,29,16,"Portland, Maine, United States",North Atlantic Capital is a venture capital firm that provides growth capital to innovative technology companies across the United States.,"8,565",-1.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Jerusalem Global Ventures,/organization/jerusalem-global-ventures,29,16,"Jerusalem, Yerushalayim, Israel",Jerusalem Global Ventures is an Israeli Investment Firm focused on funding technology startups.,"10,583",-0.2,Venture Capital,"Early Stage Venture, Late Stage Venture"
Five Points Capital,/organization/bb-t-capital-partners,34,16,"Winston Salem, North Carolina, United States","Five Points Capital is a leading private equity manager, exclusively focused on the U.S. lower middle market.","10,614",-0.4,Private Equity Firm,Private Equity
Societe Generale Asset Management,/organization/sg-asset-management-private-equity,44,16,"Paris, Ile-de-France, France","Societe Generale Asset Management, a French multinational banking and financial services firm, offers investment solutions for its clients.","15,625",-1.3,"Private Equity Firm, Investment Bank","Seed, Early Stage Venture, Late Stage Venture"
Credit Suisse First Boston,/organization/credit-suisse-first-boston,40,16,"Zurich, Zurich, Switzerland",Credit Suisse First Boston was the investment banking division of Credit Suisse Group.,"15,889",-0.8,Investment Bank,Private Equity
Woodside Fund,/organization/woodside-fund,49,16,"Redwood Shores, California, United States",Woodside Fund is an early-stage venture capital firm located in Silicon Valley. Woodside focuses on early stage technology companies.,"17,792",-0.8,Venture Capital,"Early Stage Venture, Late Stage Venture"
Dain Rauscher Wessels,/organization/dain-rauscher-wessels,34,16,"Minneapolis, Minnesota, United States","Dain Rauscher Wessels was a brokerage and investment banking firm based in Minneapolis, Minnesota.","37,916",-0.5,,
Mark Cuban,/person/mark-cuban,99,15,"Dallas, Texas, United States","Since the age of 12, Mark has been a natural businessman. Selling garbage bags door to door, the seed was planted early on for what would ev...",62,0,"Investment Partner, Individual/Angel",Seed
Citigroup,/organization/citigroup,54,15,"New York, New York, United States",Citigroup is a diversified financial services holding company that provides various financial products and services.,255,4.7,Private Equity Firm,"Early Stage Venture, Late Stage Venture"
ff Venture Capital,/organization/ff-venture-capital,328,15,"New York, New York, United States",ff Venture Capital (ffVC) is the most engaged technology venture capital firm in New York City.,477,-1.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Startupbootcamp,/organization/startupbootcamp,427,15,"London, England, United Kingdom",Startupbootcamp is a global network of industry-focused startup accelerators that provides investment and mentorship services.,571,-10,Accelerator,Seed
LDC,/organization/ldc,47,15,"London, England, United Kingdom",LDC is a private equity company which provides funds for buyouts and development capital transactions in UK unquoted companies.,670,9.6,Private Equity Firm,Private Equity
Capital Group,/organization/capital-group,32,15,"San Francisco, California, United States","Founded in 1931, Capital Group provides investment management services for long-term investors and is a private equity firm.",993,-1,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
EMC,/organization/emc,27,15,"Hopkinton, Massachusetts, United States",EMC manufactures information management and storage software systems.,"1,142",-2.7,,
XAnge,/organization/xange-private-equity,92,15,"Paris, Ile-de-France, France",XAnge is Siparex group venture brand since the merger of XAnge PE and Siparex in 2015.,"1,147",7.9,Private Equity Firm,"Early Stage Venture, Late Stage Venture"
Primary Venture Partners,/organization/primary-venture-partners,75,15,"New York, New York, United States","Primary Venture Partners (previously High Peaks) is a seed stage VC firm based in NY, focused on ecommerce and enterprise SaaS","1,547",5.8,Venture Capital,"Seed, Early Stage Venture"
Ascension Ventures,/organization/ascension-ventures,53,15,"Clarkton, Missouri, United States",AHV was established in 2001 by Ascension Health with a commitment of $125 million to invest in expansion- to late-stage healthcare,"1,807",7.6,"Venture Capital, Corporate Venture Capital",
Fonds de solidarité FTQ,/organization/fonds-de-solidarit-ftq,65,15,"Montréal, Quebec, Canada",The Fonds de solidarité FTQ is a development capital fund that helps create and maintain its clients’ funds.,"1,991",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
360 Capital Partners,/organization/360-capital-partners,92,15,"Paris, Ile-de-France, France",360 Capital Partners is a european early-stage venture capital firm based in Paris and Milan.,"2,059",0.3,Venture Capital,"Seed, Early Stage Venture"
ABN AMRO Fund,/organization/abn-amro,41,15,"Amsterdam, Noord-Holland, The Netherlands","ABN AMRO's investment arm makes investments in early-, mid-, and late-stage companies around the world","2,069",0.7,"Corporate Venture Capital, Investment Bank","Seed, Early Stage Venture, Late Stage Venture"
Amgen Ventures,/organization/amgen-ventures,59,15,"San Francisco, California, United States",Amgen Ventures is a California-based investment firm focused on early- and late-stage biotechnology companies.,"2,086",7,Venture Capital,Early Stage Venture
Ludlow Ventures,/organization/ludlow-ventures-llc,86,15,"Detroit, Michigan, United States","Ludlow Ventures provides entrepreneurs and startups with seed and early stage, and debt financing investments.","2,150",-2.3,Micro VC,"Seed, Early Stage Venture, Debt"
VTF Capital,/organization/vegastechfund,178,15,"Santa Monica, California, United States",VTF Capital is a seed-stage venture fund that finances vertical commerce and physical retail technology companies.,"2,439",-2,Micro VC,"Seed, Early Stage Venture"
Creandum,/organization/creandum,89,15,"Stockholm, Stockholms Lan, Sweden",Creandum is an early-stage venture capital firm investing in innovative and fast-growing technology companies.,"2,564",-5.7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Matt Mullenweg,/person/matt-mullenweg,39,15,"Houston, Texas, United States","Matt Mullenweg is a co-founder of WordPress, an open-source blogging platform on the web. He is also the founder of Automattic, the company ...","2,832",-0.6,Individual/Angel,Seed
Techammer,/organization/techammer,78,15,"New York, New York, United States",Angel investments of Jeff Hammerbacher and Halle Tecco,"3,044",2.6,Angel Group,Seed
Madison Dearborn Partners,/organization/madison-dearborn-partners,28,15,"Chicago, Illinois, United States",MDPs objective is to invest in companies in partnership with outstanding management teams to achieve significant long-term appreciation.,"3,339",4.2,Private Equity Firm,"Late Stage Venture, Private Equity"
Dream Incubator,/organization/dream-incubator,34,15,"Tokyo, Tokyo, Japan",Dream Incubator is a Tokyo-based strategic consulting and business development firm helping companies with their growth and expansion.,"3,351",3.1,,
Cipio Partners,/organization/cipio-partners,40,15,"Munich, Bayern, Germany",Cipio Partners is an investment management and advisory firm in the secondary direct market.,"3,475",4.8,Secondary Purchaser,"Late Stage Venture, Secondary Market"
Roche Venture Fund,/organization/roche-venture-fund,66,15,"Basel, Basel-Stadt, Switzerland",The Roche Venture Fund is the name given to the corporate venture fund of the healthcare company Roche.,"3,520",3,Corporate Venture Capital,
FTV Capital,/organization/ftv-capital,53,15,"San Francisco, California, United States","Growth equity firm focused on high growth companies in enterprise solutions, financial services, and payments/transaction processing.","3,592",-0.8,Private Equity Firm,"Late Stage Venture, Private Equity"
Transmedia Capital,/organization/transmedia-capital,75,15,,Transmedia Capital is one of the leading micro funds in Silicon Valley.,"3,809",-1.1,Venture Capital,"Seed, Early Stage Venture"
Triangle Peak Partners,/organization/triangle-peak-partners,55,15,"Carmel Valley, California, United States",Triangle Peak Partners conducts private investments in companies where it can work with management and help create value.,"3,990",2.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Ali Partovi,/person/ali-partovi,36,15,"San Francisco, California, United States","Based in San Francisco, Ali is an angel investor, startup advisor, and serial entrepreneur. Ali is also a co-founder of computer education n...","4,140",-2.9,Individual/Angel,Seed
Novo Ventures,/organization/novo-ventures,44,15,"Bagsværd, Hovedstaden, Denmark","Novo A/S is a Danish private limited liability company wholly owned by the Novo Nordisk Foundation, and the holding company of the Novo","4,161",2,Corporate Venture Capital,
Celtic House Venture Partners,/organization/celtic-house-venture-partners,73,15,"Toronto, Ontario, Canada",Celtic House Venture Partners is an independent Canadian investment firm.,"4,229",-0.1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Miramar Ventures,/organization/miramar-venture-partners,65,15,"Corona Del Mar, California, United States","Miramar Ventures, launched in 2002, is focused on seed and early stage venture capital investing in the mobile sector.","4,332",2.2,Venture Capital,"Seed, Early Stage Venture"
Lilly Ventures,/organization/lilly-ventures,55,15,"Indianapolis, Indiana, United States",Lilly Ventures is an Indiana-based venture capital firm that provides investment to companies in the life sciences sector.,"4,592",2.4,Corporate Venture Capital,
Ben Franklin Technology Partners of Southeastern Pennsylvania,/organization/ben-franklin-technology-partners-of-southeastern-pennsylvania,161,15,"Philadelphia, Pennsylvania, United States",Ben Franklin Technology Partners of Southeastern Pennsylvania offers technology-based economic development programs.,"4,737",-2,Government Office,"Seed, Early Stage Venture"
ITOCHU Technology Ventures,/organization/itochu-technology-ventures,59,15,"Tokyo, Tokyo, Japan",Itochu Technology Ventures is the Tokyo-based venture capital arm of ITOCHU Corporation that funds information technology companies.,"5,407",1.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Gotham Ventures,/organization/gotham-ventures,57,15,"New York, New York, United States",Gotham Ventures is a venture capital firm investing in early stage information technology start-ups.,"6,885",-1.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
UMC Capital,/organization/umc-capital,46,15,"Hsinchu, T'ai-wan, Taiwan",UMC Capital was established in February 2001 as the direct investment arm of world leading semiconductor foundry UMC.,"7,268",-0.7,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Flatiron Partners,/organization/flatiron-partners,38,15,"New York, New York, United States","Flatiron Partners is a venture capital firm that operates in New York, United States.","7,621",-0.7,Venture Capital,"Early Stage Venture, Late Stage Venture"
Deerfield Capital Management,/organization/deerfield-management,23,15,"Rosamond, Illinois, United States","Deerfield Capital Management (DCM) is a global fixed-income investment adviser that has managed institutional, alternative accounts since","7,643",-0.5,Venture Capital,"Post-Ipo, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Advanced Equities,/organization/advanced-equities,44,15,"Chicago, Illinois, United States",Advanced Equities provides qualified high-net-worth individuals access to late-stage private equity offerings.,"8,157",0.8,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Adams Capital Management,/organization/adams-capital-management,74,15,"Sewickley, Pennsylvania, United States","Adams Capital Management, Inc. (ACM) is a national venture capital firm specializing in early-stage applied technology investments.","8,176",-1.1,Venture Capital,"Early Stage Venture, Late Stage Venture"
Raymond Tonsing,/person/raymond-tonsing,47,15,"San Francisco, California, United States","Investor at Caffeinated Capital.  Passionate about ff, meaningful innovation, cycling and caffe. See http://angel.co/tonsing","8,319",0.7,Individual/Angel,Seed
Prospect Venture Partners,/organization/prospect-venture-partners,76,15,"Palo Alto, California, United States","Prospect Venture Partners is a Palo Alto, California based venture capital firm with over $1B of capital under management.","9,790",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
Montreux Equity Partners,/organization/montreaux-equity-partners,60,15,"San Francisco, California, United States",Montreux Equity Partners is a private investment firm dedicated to building the leading healthcare companies of tomorrow.,"10,265",-0.4,Venture Capital,"Late Stage Venture, Private Equity, Secondary Market"
Quaker BioVentures,/organization/quaker-bioventures,52,15,"Philadelphia, Pennsylvania, United States",Quaker BioVentures is a venture capital firm investing in life science companies. The firm leads investments across the spectrum of the,"11,978",-0.4,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Israel Seed Partners,/organization/israel-seed-partners,39,15,"Jerusalem, Yerushalayim, Israel",Israel Seed Partners takes a hands-on approach to supporting and nurturing seed-stage investments.,"12,504",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture"
Leapfrog Ventures,/organization/leapfrog-ventures,46,15,"Menlo Park, California, United States",They believe that the most successful company in any industry gains a disproportionately higher return for its shareholders.,"12,736",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture"
Ridgewood Capital,/organization/ridgewood-capital,41,15,"Montvale, New Jersey, United States","Ridgewood Capital is a private equity firm located in Palo Alto, California and Ridgewood, New Jersey.","13,602",-0.3,Private Equity Firm,"Early Stage Venture, Late Stage Venture"
TEEC Angel Fund,/organization/teec-angel-fund,172,15,"Palo Alto, California, United States",TEEC Angel Fund provides seed and early stage venture investments and is based in California.,"15,888",-1.9,Angel Group,"Seed, Early Stage Venture"
Castile Ventures,/organization/castile-ventures,45,15,"Wellesley, Massachusetts, United States",Castile Ventures is an early-stage venture capital firm that provides financial banking and strategic guidance.,"16,626",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
NIF Ventures,/organization/nif-ventures,37,15,"Palo Alto, California, United States",NIF Ventures is a Japanese venture capital company that specializes in early- and later-stage investments.,"18,365",-0.8,Venture Capital,"Early Stage Venture, Late Stage Venture"
Medtronic,/organization/medtronic,54,14,"Minneapolis, Minnesota, United States",Medtronic develops and manufactures innovative medical device technologies and therapies to treat chronic diseases worldwide.,70,2.2,,
